Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Dahme-Spreewald,Landkreis,16,167%,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,17/03/2020,16,,,,,,,,0,,,,,,,,,12
Darmstadt,Kreisfreie Stadt,11,0%,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/x-1,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/ausbreitung-des-coronavirus,19/03/2020 00:00,11,,,,,,,,0,,,,,,,,,6
Darmstadt-Dieburg,Landkreis,18,29%,https://perspektive.ladadi.de/index.php?id=137,https://perspektive.ladadi.de/index.php?id=137,18/03/2020 16:00,18,,,,,,,,0,,,,,,,,,6
Deggendorf,Landkreis,22,5%,https://www.landkreis-deggendorf.de/aktuelles/aus-dem-landkreis/info-coronavirus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 21:30,27,,,,,3/19/2020 13:47,https://www.landkreis-deggendorf.de/aktuelles/pressemitteilungen-zu-corona/,@LunaticMax,1,,,,,,,,,9
Delmenhorst,Kreisfreie Stadt,5,0%,https://www.delmenhorst.de/aktuelles/coronavirus.php,https://www.delmenhorst.de/aktuelles/coronavirus.php,19/03/2020 00:00,5,,,,,,,,0,,,,,,,,,3
Dessau-Roßlau,Kreisfreie Stadt,4,33%,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,18/03/2020 18:00,4,,,,,,,,0,,,,,,,,,15
Diepholz,Landkreis,37,6%,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,18/03/2020 18:00,37,,,,,,,,0,,,,,,,,,3
Dillingen a.d. Donau,Landkreis,1,NEU,https://alp.dillingen.de/aktuelles/beitrag/informationen-zum-corona-virus-covid-19/,https://www.landkreis-dillingen.de/erster-bestaetigter-covid-19-fall-im-landkreis-dillingen,18/03/2020 18:00,1,,36,,,3/19/2020 13:49,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Dingolfing-Landau,Landkreis,17,21%,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,18/03/2020 12:00,18,,,,,3/19/2020 13:50,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Dithmarschen,Kreis,10,67%,https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,18/03/2020 18:00,10,,,,,,,,0,,,,,,,,,1
Donau-Ries,Landkreis,10,0%,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,16.03.2020,10,,,,,3/19/2020 13:51,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,@LunaticMax,0,,,,,,,,,9
Donnersbergkreis,Landkreis,12,9%,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/März/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20März/,18/03/2020 20:00,12,,,,,,,,0,,,,,,,,,7
Dortmund,Kreisfreie Stadt,76,23%,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,18/03/2020 16:50,76,,,,,,,,0,,,,,,,,,5
Dresden,Kreisfreie Stadt,49,23%,https://www.sms.sachsen.de/coronavirus.html,https://www.sms.sachsen.de/coronavirus.html,18/03/2020 16:30,60,,,,,,,,1,,,,,,,,,14
Duisburg,Kreisfreie Stadt,52,13%,https://www.duisburg.de/allgemein/fachbereiche/gesundheitsamt/corona-virus_allgemeine-informationen.php#Aktuelle_Informationen_zum_Coronavirus-2C_Stand_15-03--2C_09-00_Uhr,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,52,,,,,,,,0,,,,,,,,,5
Düren,Kreis,74,37%,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,3/19/2020 1:23:00,74,,,,,,,,0,,,,,,,,,5
Düsseldorf,Kreisfreie Stadt,159,22%,https://www.duesseldorf.de/?L=,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,18/03/2020 19:19,159,,,,,,,,0,,,,,,,,,5
Ebersberg,Landkreis,34,17%,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-14-maerz-2020/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 21:30,39,,141,,,3/19/2020 13:53,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Eichsfeld,Landkreis,3,0%,https://www.kreis-eic.de/pressemitteilungen.html,https://www.kreis-eic.de/pressemitteilungen.html,18/03/2020 22:20,3,,,,,,,,0,,,,,,,,,16
Eichstätt,Landkreis,6,100%,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,19/03/2020 00:00,6,,50,,,3/19/2020 13:54,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/drei-weitere-covid-19-faelle-im-landkreis-eichstaett/,@LunaticMax,0,,,,,,,,,9
Eifelkreis Bitburg-Prüm,Landkreis,21,0%,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,19/03/2020 00:00,29,,,,,,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,@passix_,1,,,,,,,,,7
Eisenach,Kreisfreie Stadt,2,0%,https://www.eisenach.de/startseite,https://www.wartburgkreis.de/leben-im-wartburgkreis/gesundheit/aktuelle-informationen-zum-corona-virus,18/03/2020 22:20,2,,,,,,,,0,,,,,,,,,16
Elbe-Elster,Landkreis,6,0%,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,19/03/2020 00:00,6,,,,,,,,0,,,,,,,,,12
Emden,Kreisfreie Stadt,7,75%,https://www.emden.de/aktuell/coronavirus,https://www.emden.de/rathaus/verwaltung/verwaltungsvorstand/video,19/03/2020 00:00,7,,,,,,,,0,,,,,,,,,3
Emmendingen,Landkreis,69,15%,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=682&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=80a38d6febd9dd1cf9d2619f41901d1c,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=678&tx_hwnews_hwnews%5BcurrentPage%5D=1&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=aab4f31affa2b99c5b9059e772a932e4,18/03/2020 20:25,69,,,,,,,,0,,,,,,,,,8
Emsland,Landkreis,43,19%,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,18/03/2020 20:20,43,,,,,,,,0,,,,,,,,,3
Ennepe-Ruhr-Kreis,Kreis,38,19%,https://www.enkreis.de/,https://www.enkreis.de/,18/03/2020 20:25,38,,,,,,,,0,,,,,,,,,5
Enzkreis,Landkreis,12,9%,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",18/03/2020 20:20,12,,,,,03/19/2020 12:50,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,,0,,,,,,,,,8
Erding,Landkreis,31,11%,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,18/03/2020 20:20,35,,,,,3/19/2020 13:56,https://www.landkreis-erding.de/aktuell/pressemitteilungen/corona-virus-im-landkreis-erding-sachstand-18032020/,@LunaticMax,1,,,,,,,,,9
Erfurt,Kreisfreie Stadt,18,13%,https://www.erfurt.de/ef/de/service/aktuelles/am/2020/135164.html,https://www.erfurt.de/ef/de/service/aktuelles/am/2020/135164.html,18/03/2020 22:20,16,,,,,,,,1,,,,,,,,,16
Erlangen,Kreisfreie Stadt,16,33%,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,19/03/2020 00:00,13,,,,,,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Erlangen-Höchstadt,Landkreis,9,29%,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,18/03/2020 20:15,14,,,,,,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Erzgebirgskreis,Landkreis,15,36%,https://www.erzgebirgskreis.de/de/?no_cache=1,https://www.erzgebirgskreis.de/de/nachrichten/aktuelles/?tx_news_pi1%5B%40widget_0%5D%5BcurrentPage%5D=1&tx_news_pi1%5Bnews%5D=7304&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=2f41d54ab778b8b898036e403f58b8d8,18/03/2020 20:15,15,,,,,,,,0,,,,,,,,,14
Essen,Kreisfreie Stadt,129,14%,https://www.essen.de/gesundheit/coronavirus_aktuell.de.html,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,19/03/2020 00:00,154,,1033,,,,https://www.essen.de/gesundheit/coronavirus_aktuell.de.html,,1,,,,,,,,,5
Esslingen,Landkreis,206,0%,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,19/03/2020 00:00,206,,,,,,,,0,,,,,,,,,8
Euskirchen,Kreis,28,115%,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,19/03/2020 00:00,28,,,,,,,,0,,,,,,,,,5
Flensburg,Kreisfreie Stadt,8,14%,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1","https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",19/03/2020 00:00,8,,,,,,,,0,,,,,,,,,1
Forchheim,Landkreis,8,0%,https://lra-fo.de/site/1_home/Pressemitteilungen.php,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 21:30,14,,,,,3/19/2020 13:59,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Frankenthal (Pfalz),Kreisfreie Stadt,3,200%,https://www.facebook.com/Stadt.Frankenthal.Pfalz,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,18/03/2020 17:00,8,,,,,,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@passix_,1,,,,,,,,,7
Frankfurt (Oder),Kreisfreie Stadt,2,-50%,"https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1","https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1",19/03/2020 00:00,2,,,,,,,,0,,,,,,,,,12
Frankfurt am Main,Kreisfreie Stadt,83,63%,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,83,,,,,,,,0,,,,,,,,,6
Freiburg im Breisgau,Stadtkreis,86,34%,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,18/03/2020 00:00,126,,,,,,,,1,,,,,,,,,8
Freising,Landkreis,122,31%,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1,18/03/2020 16:00,136,,,,2,3/19/2020 14:01,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1,@LunaticMax,1,,,,,,,,,9
Freudenstadt,Landkreis,14,17%,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,17/03/2020 18:00,14,,,,,,,,0,,,,,,,,,8
Freyung-Grafenau,Landkreis,8,14%,https://www.freyung-grafenau.de/verwaltung-und-politik/pressemeldungen/details/news/weiterer-corona-fall-im-landkreis/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=22276fde70261e9d5af6f104f9dcf2b3,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:30,14,,,,,3/19/2020 14:02,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Friesland,Landkreis,3,0%,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,19/03/2020 00:00,3,,,,,,,,0,,,,,,,,,3
Fulda,Landkreis,43,0%,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,19/03/2020 00:00,43,,,,,,,,0,,,,,,,,,6
Fürstenfeldbruck,Landkreis,23,5%,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:30,24,,,,,3/19/2020 14:03,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Fürth,Kreisfreie Stadt,10,11%,https://www.fuerth.de/Home/oeffentliches-leben-weiter-eingeschraenkt.aspx,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 20:30,12,,,,,3/19/2020 14:03,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Fürth,Landkreis,3,0%,https://www.landkreis-fuerth.de/corona.html,https://www.landkreis-fuerth.de/corona.html,19/03/2020 00:00,4,,,,,3/19/2020 14:03,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Garmisch-Partenkirchen,Landkreis,20,43%,https://www.lra-gap.de/de/,https://www.lra-gap.de/de/coronavirus.html,18/03/2020 13:00,20,,,,,3/19/2020 14:03,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Gelsenkirchen,Kreisfreie Stadt,35,94%,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,18/03/2020 15:30,36,,,,,,,,1,,,,,,,,,5
Gera,Kreisfreie Stadt,4,300%,https://www.gera.de/sixcms/detail.php?id=200096&_lang=de,https://www.gera.de/sixcms/detail.php?id=200096&_lang=de,18/03/2020 00:00,4,,,,,,,,0,,,,,,,,,16
Germersheim,Landkreis,20,100%,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%20Zehn%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20best%C3%A4tigt/,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%2020%20positive%20Fälle%20im%20Landkreis%20Germersheim%20bestätigt/,18/03/2020 16:30,20,,,,,,,,0,,,,,,,,,7
Gießen,Landkreis,29,71%,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,18/03/2020 08:00,47,,,,,,,,1,,,,,,,,,6
Gifhorn,Landkreis,23,15%,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/artikel-bekanntmachung/news/aktuelle-informationen-zum-coronavirus/,https://www.gifhorn.de/start/nachricht-startseite/news/aktuelle-lage-zum-coronavirus-11/,18/03/2020 22:22,23,,116,,,,,,0,,,,,,,,,3
Göppingen,Landkreis,81,27%,https://www.landkreis-goeppingen.de/start/_Aktuelles/coronavirus.html,https://filstalwelle.de/shortnews/2020-03-18-landkreis-goeppingen-81-personen-mit-corna-virus-infiziert,18/03/2020 16:00,81,,,,,,,,0,,,,,,,,,8
Görlitz,Landkreis,10,11%,http://coronavirus.landkreis.gr/,http://coronavirus.landkreis.gr/,18/03/2020 08:00,15,,,,,,,,1,,,,,,,,,14
Goslar,Landkreis,14,100%,https://www.harzkurier.de/lokales/osterode/article228725919/32-bestaetigte-Corona-Faelle-im-Landkreis-bis-Mittwochabend.html,https://www.landkreis-goslar.de/media/custom/94_6283_1.PDF?1584522010,17/03/2020 18:00,14,,,,,,,,0,,,,,,,,,3
Gotha,Landkreis,1,0%,https://www.landkreis-gotha.de/,https://www.landkreis-gotha.de/,17/03/2020 18:00,1,,,,,,,,0,,,,,,,,,16
Göttingen,Landkreis,32,68%,https://www.goettingen.de/aktuelles/coronavirus-das-gesundheitsamt-informiert-2020-02-17.html,https://www.goettingen.de/aktuelles/coronavirus-32-menschen-in-stadt-und-landkreis-goettingen-infiziert-2020-03-18.html,18/03/2020 22:25,32,,,,,,,,0,,,,,,,,,3
Grafschaft Bentheim,Landkreis,15,36%,https://www.grafschaft-bentheim.de/magazin/artikel.php?artikel=6041&type=2&menuid=893&topmenu=893,https://www.grafschaft-bentheim.de/magazin/magazin.php?menuid=893&topmenu=893,18/03/2020 16:00,15,,,,,,,,0,,,,,,,,,3
Greiz,Landkreis,7,133%,https://www.landkreis-greiz.de/landkreis-greiz/aktuell/,https://www.landkreis-greiz.de/landkreis-greiz/aktuell/,18/03/2020 22:20,16,,,,,,,,1,,,,,,,,,16
Groß-Gerau,Landkreis,21,75%,"https://www.gross-gerau.de/Quicknavigation/Startseite/Corona_BGM_Aufruf.php?object=tx,2289.7&ModID=7&FID=2289.15595.1&NavID=2289.1&NavID=2289.68",https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,18/03/2020 14:00,21,,,,,,,,0,,,,,,,,,6
Günzburg,Landkreis,3,0%,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,19/03/2020 00:00,88,,,,,3/19/2020 14:05,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Gütersloh,Kreis,134,47%,https://www.kreis-guetersloh.de/aktuelles/corona/,https://www.kreis-guetersloh.de/aktuelles/corona/,18/03/2020 13:10,157,,,,,,,,1,,,,,,,,,5
Hagen,Kreisfreie Stadt,21,163%,https://www.hagen.de/web/de/hagen_de/home.html,https://www.hagen.de/web/de/hagen_de/home.html,19/03/2020 00:00,21,,,,,,,,0,,,,,,,,,5
Halle (Saale),Kreisfreie Stadt,38,41%,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,18/03/2020 10:00,50,,,,,,,,1,,,,,,,,,15
Hamburg,Kreisfreie Stadt,414,33%,https://www.hamburg.de/coronavirus/pressemeldungen/13721208/2020-03-15-bgv-coronavirus-aktuell/,https://www.hamburg.de/coronavirus/13730108/2020-03-18-coronavius-aktueller-stand/,18/03/2020 16:00,414,,,,1,,,,0,,,,,,,,,2
Hameln-Pyrmont,Landkreis,13,44%,"https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7","https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7",19/03/2020 00:00,13,,,,,,,,0,,,,,,,,,3
Hamm,Kreisfreie Stadt,27,42%,https://www.hamm.de/corona,https://www.hamm.de/corona,18/03/2020 08:00,27,,,,,,,,0,,,,,,,,,5
Harburg,Landkreis,39,117%,https://www.landkreis-harburg.de/corona,https://www.landkreis-harburg.de/corona,18/03/2020 17:00,39,,,,,,,,0,,,,,,,,,3
Harz,Landkreis,7,0%,http://www.kreis-hz.de/de/coronavirus.html,http://www.kreis-hz.de/de/coronavirus.html,18/03/2020 18:00,7,,,,,,,,0,,,,,,,,,15
Haßberge,Landkreis,9,13%,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,19/03/2020 00:00,9,,,,,3/19/2020 14:07,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1649&cHash=745d5bc62ec0e16a899dff5271217b66,@LunaticMax,0,,,,,,,,,9
Havelland,Landkreis,8,33%,https://www.havelland.de/coronavirus/,https://www.havelland.de/coronavirus/,19/03/2020 00:00,8,,,,,,,,0,,,,,,,,,12
Heidekreis,Landkreis,2,100%,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,19/03/2020 00:00,2,,,,,,,,0,,,,,,,,,3
