Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Halle (Saale),Kreisfreie Stadt,27,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,38,,,,,18/03/2020 10:00,https://www.halle.de/de/Verwaltung/Presseportal/Nachrichten/index.aspx?NewsId=45334,@HalleSpektrum,,,,,,,,,15
Hamburg,Kreisfreie Stadt,312,https://www.hamburg.de/coronavirus/pressemeldungen/13721208/2020-03-15-bgv-coronavirus-aktuell/,358,,,,,18/03/2020 10:30,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html,@gitscher,,,,,,,,,2
Hameln-Pyrmont,Landkreis,9,"https://www.hameln-pyrmont.de/Schnellnavigation/Startseite/9-Corona-F%C3%A4lle-im-Landkreis-Hameln-Pyrmont.php?object=tx,2561.5&ModID=7&FID=2749.5589.1&NavID=2561.7",9,,,,,,,,,,,,,,,,3
Hamm,Kreisfreie Stadt,19,https://www.hamm.de/corona,19,,,,,,,,,,,,,,,,5
Harburg,Landkreis,18,https://www.landkreis-harburg.de/,18,,,,,,,,,,,,,,,,3
Harz,Landkreis,7,http://www.kreis-hz.de/de/coronavirus.html,7,,,,,,,,,,,,,,,,15
Haßberge,Landkreis,8,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1646&cHash=5982f2a8fbd8823ef0de98fc8f1d2a37,8,,,,,,,,,,,,,,,,9
Havelland,Landkreis,6,https://www.havelland.de/coronavirus/,6,,,,,,,,,,,,,,,,12
Heidekreis,Landkreis,1,https://www.heidekreis.de/home/gesundheit-soziales/gesundheit-veterinaerwesen/infektionsschutzgesetz/neuartiges-coronavirus.aspx,1,,,,,,,,,,,,,,,,3
Heidelberg,Stadtkreis,41,https://www.heidelberg.de/hd/corona-virus_+die+lage+in+heidelberg.html,47,,,,,18.03.2020,"https://www.rhein-neckar-kreis.de/,Lde/start/landratsamt/coronavirus+-+faq.html",,,,,,,,,,8
Heidenheim,Landkreis,31,https://www.landkreis-heidenheim.de/Landratsamt/Organisationseinheit/Gesundheit/Coronavirus/index.htm,31,,,,,,,,,,,,,,,,8
Heilbronn,Stadtkreis,9,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,9,,,,,,,,,,,,,,,,8
Heilbronn,Landkreis,57,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,60,,,,,18/03/2020 13:30,https://www.landkreis-heilbronn.de/informationen-zum-coronavirus.44148.htm,,,,,,,,,,8
Heinsberg,Kreis,755,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,811,,,,,18/03/2020 13:30,https://www.kreis-heinsberg.de/aktuelles/aktuelles/?pid=5142,@JamesEDaniell,,,,,,,,,5
Helmstedt,Landkreis,2,https://www.helmstedt.de/verwaltung/dienstleistungen/dienstleistung.php?id=692&menuid=662&refmenuid=1114&reftopmenu=782&topmenu=637,2,,,,,,,,,,,,,,,,3
Herford,Kreis,36,https://www.kreis-herford.de/LEBEN/Gesund-sein-und-bleiben/Infektionen-und-Krankheiten/Informationen-zum-Coronavirus,36,,,,,,,,,,,,,,,,5
Herne,Kreisfreie Stadt,8,https://www.herne.de/Stadt-und-Leben/Gesundheit/Informationen-zum-Coronavirus/,8,,,,,,,,,,,,,,,,5
Hersfeld-Rotenburg,Landkreis,15,https://www.hef-rof.de/presse/nachrichten-archiv/1566-zwei-neue-corona-faelle-im-landkreis,15,,,,,,,,,,,,,,,,6
Herzogtum Lauenburg,Kreis,13,https://www.kreis-rz.de/index.phtml?mNavID=1814.183&sNavID=1814.183&La=1,13,,,,,,,,,,,,,,,,1
Hildburghausen,Landkreis,0,"https://www.landkreis-hildburghausen.de/Schnellnavigation/Startseite/Pressemitteilung-zur-Allgemeinverf%C3%BCgung-des-Landratsamtes-Hildburghausen-zum-Verbot-von-Veranstaltungen-auf-dem-Gebiet-des-Landkreises-Hildburghausen.php?object=tx,2902.5&ModID=7&FID=2902.1369.1",0,,,,,,,,,,,,,,,,16
Hildesheim,Landkreis,44,"https://www.landkreishildesheim.de/-Landkreis-Aktuelle-Zahlen-zum-Coronavirus-im-Landkreis-Hildesheim.php?object=tx,2829.5&ModID=7&mobile=off&FID=2829.3121.1",44,,,,,,,,,,,,,,,,3
Hochsauerlandkreis,Kreis,80,https://www.hochsauerlandkreis.de/startseite/pressemeldungen/pressemeldung-_Corona_Virus__80_Erkrankte__Fahrschulen_schliessen___Hinweise_fuer_die_Kfz_Zulassung.php,80,,,,,,,,,,,,,,,,5
Hochtaunuskreis,Landkreis,20,https://www.hochtaunuskreis.de/Informationen+der+Kreisverwaltung+zum+Corona+Virus/Lage%C3%BCbersicht.html,20,,,,,,,,,,,,,,,,6
Hof,Kreisfreie Stadt,4,https://www.landkreis-hof.de/coronavirus-wir-informieren/,4,,,,,,,,,,,,,,,,9
Hof,Landkreis,7,https://www.landkreis-hof.de/coronavirus-wir-informieren/,7,,,,,,,,,,,,,,,,9
Hohenlohekreis,Landkreis,151,https://www.hohenlohekreis.de/fileadmin/Dateien/Dateien/Buergerservice/Gesundheit/083_03_17_Coronavirus_Akt.Stand.pdf,151,,,,1,17/03/2020 18:00,https://www.hohenlohekreis.de/index.php?id=291&publish[id]=1109784&publish[start]=,@schwabe90,,,,,,,,,8
Holzminden,Landkreis,13,https://www.landkreis-holzminden.de/portal/seiten/aktuelles-zum-coronavirus-900000405-25600.html?rubrik=900000005,13,,,,,,,,,,,,,,,,3
Höxter,Kreis,4,https://www.kreis-hoexter.de/service-kontakt/pressestelle/pressemitteilungen/4205.Update-von-Sonntag-Keine-neuen-Faelle-des-Coronavirus-im-Kreis-Hoexter.html,7,,,,,,,,,,,,,,,,5
Ilm-Kreis,Landkreis,2,https://www.ilm-kreis.de/,2,,,,,,,,,,,,,,,,16
Ingolstadt,Kreisfreie Stadt,3,"https://www.ingolstadt.de/Home/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0&&NavID=2789.411.1",3,,,,,,,,,,,,,,,,9
Jena,Kreisfreie Stadt,20,https://gesundheit.jena.de/de/coronavirus,20,,,,,,,,,,,,,,,,16
Jerichower Land,Landkreis,1,https://www.lkjl.de/de/index.php?id=223359001131,1,,,,,,,,,,,,,,,,15
Kaiserslautern,Kreisfreie Stadt,9,https://www.kaiserslautern-kreis.de/aktuelles.html,9,,,,,,,,,,,,,,,,7
Kaiserslautern,Landkreis,13,https://www.kaiserslautern-kreis.de/aktuelles.html,13,,,,,,,,,,,,,,,,7
Karlsruhe,Stadtkreis,31,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,31,,,,,,,,,,,,,,,,8
Karlsruhe,Landkreis,56,https://corona.karlsruhe.de/aktuell/aktuelle-informationen-und-zahlen,56,,,,,,,,,,,,,,,,8
Kassel,Kreisfreie Stadt,15,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,15,,,,,,,,,,,,,,,,6
Kassel,Landkreis,18,https://www.kassel.de/aktuelles/aktuelle-meldungen/coronavirus.php,18,,,,,,,,,,,,,,,,6
Kaufbeuren,Kreisfreie Stadt,5,https://www.landkreis-ostallgaeu.de/aktuelles.html,5,,,,,,,,,,,,,,,,9
Kelheim,Landkreis,6,https://www.landkreis-kelheim.de/amt-service/coronavirus/,6,,,,,,,,,,,,,,,,9
Kempten (Allgäu),Kreisfreie Stadt,5,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,5,,,,,,,,,,,,,,,,9
Kiel,Kreisfreie Stadt,18,https://www.kiel.de/de/gesundheit_soziales/gesundheit_vorsorgen_heilen/infektionsschutz/coronavirus.php,20,,,,,,,,,,,,,,,,1
Kitzingen,Landkreis,5,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/corona/,5,,,,,,,,,,,,,,,,9
Kleve,Kreis,70,https://www.kleve.de/de/inhalt/aktuelles/,74,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Koblenz,Kreisfreie Stadt,21,https://www.koblenz.de/aktuelles/coronavirus/,21,,,,,,,,,,,,,,,,7
Köln,Kreisfreie Stadt,384,https://www.koeln.de/koeln/nachrichten/lokales/coronavirus-in-koeln-der-aktuelle-stand_1144487.html,384,,,,,,,,,,,,,,,,5
Konstanz,Landkreis,45,https://www.lrakn.de/Startseite,45,1,,,,17/03/2020,"https://www.lrakn.de/,Lde/service-und-verwaltung/aemter/gesundheit+und+versorgung/coronavirus",,,,,,,,,,8
Krefeld,Kreisfreie Stadt,43,https://www.krefeld.de/de/inhalt/informationen-zum-thema-corona-virus/,53,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Kronach,Landkreis,3,https://www.landkreis-kronach.de/aktuelles/meldungen/pressemitteilung-des-landkreises-kronach/,3,,,,,,,,,,,,,,,,9
Kulmbach,Landkreis,1,https://www.facebook.com/kulmbach.stadtportal,1,,,,,,,,,,,,,,,,9
Kusel,Landkreis,14,https://landkreis-kusel.de/no_cache/aktuelles/news.html,14,,,,,,,,,,,,,,,,7
Kyffhäuserkreis,Landkreis,8,https://www.kyffhaeuser.de/kyf/index.php/pressemeldungen-leser/items/2140.html,8,,,,,,,,,,,,,,,,16
Lahn-Dill-Kreis,Landkreis,21,https://www.lahn-dill-kreis.de/buergerservice/gesundheitsamt/hygiene-infektion/lahn-dill-kreisdecoronavirus/,21,,,,,,,,,,,,,,,,6
Landau in der Pfalz,Kreisfreie Stadt,2,https://www.suedliche-weinstrasse.de/de/aktuelles/pressemeldungen/2020_066.php,2,,,,,,,,,,,,,,,,7
Landsberg am Lech,Landkreis,10,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/,10,,,,,,,,,,,,,,,,9
Landshut,Kreisfreie Stadt,4,http://www.landshut.de/portal/startseite/pressedetails/article/8840/12332.html,4,,,,,,,,,,,,,,,,9
Landshut,Landkreis,25,https://www.landkreis-landshut.de/Landratsamt/Aktuelles.aspx?rssid=f556fe1f-c62f-46a8-ab11-6eaa1479c00a,25,,,,,,,,,,,,,,,,9
Leer,Landkreis,7,https://www.landkreis-leer.de/,7,,,,,,,,,,,,,,,,3
Leipzig,Kreisfreie Stadt,71,https://www.sms.sachsen.de/coronavirus.html,114,,,,,,,,,,,,,,,,14
Leipzig,Landkreis,17,https://www.landkreisleipzig.de/,17,,,,,,,,,,,,,,,,14
Leverkusen,Kreisfreie Stadt,21,https://www.leverkusen.de/leben-in-lev/gesundheit/info-zu-corona-virus.php,21,,,,,,,,,,,,,,,,5
Lichtenfels,Landkreis,3,https://www.lkr-lif.de/landratsamt/gesundheit-und-verbraucherschutz/gesundheitswesen/informationen-fuer-die-buerger/coronavirus/index.html,3,,,,,,,,,,,,,,,,9
Limburg-Weilburg,Landkreis,8,https://www.landkreis-limburg-weilburg.de/,8,,,,,,,,,,,,,,,,6
Lindau (Bodensee),Landkreis,19,"https://www.landkreis-lindau.de/B%C3%BCrgerservice-Online-Dienste/B%C3%BCrgerservice/Aktuell/index.php?La=1&object=tx,2846.1038.1&kat=&kuo=2&sub=0",19,,,,,,,,,,,,,,,,9
Lippe,Kreis,87,https://www.kreis-lippe.de/?object=tx|2001.7113.1,87,,,,,,,,,,,,,,,,5
Lörrach,Landkreis,27,https://www.loerrach-landkreis.de/de/Service-Verwaltung/Fachbereiche/Gesundheit/Sachgebiete/Sachgebiet/Corona,27,,,,,,,,,,,,,,,,8
Lübeck,Kreisfreie Stadt,11,https://www.luebeck.de/de/rathaus/verwaltung/gesundheitsamt/infektionsschutz/coronavirus.html,11,,,,,,,,,,,,,,,,1
Lüchow-Dannenberg,Landkreis,0,https://www.luechow-dannenberg.de/home/familie-soziales-gesundheit/corona-virus.aspx,0,,,,,,,,,,,,,,,,3
Ludwigsburg,Landkreis,87,https://sozialministerium.baden-wuerttemberg.de/de/gesundheit-pflege/gesundheitsschutz/infektionsschutz-hygiene/informationen-zu-coronavirus/,87,,,,,,,,,,,,,,,,8
Ludwigshafen am Rhein,Kreisfreie Stadt,9,https://www.ludwigshafen.de/buergernah/buergerservice/informationen-zum-coronavirus/informationen-des-gesundheitsamts-des-rhein-pfalz-kreises/,9,,,,,,,,,,,,,,,,7
Ludwigslust-Parchim,Landkreis,2,https://www.kreis-lup.de/corona/,2,,,,,,,,,,,,,,,,13
Lüneburg,Landkreis,26,https://www.landkreis-lueneburg.de/,42,,,,,18.03.20 13:30,https://twitter.com/lk_lueneburg/status/1240240976221831173?s=20,@TorbenRaulfs,,,,,,,,,3
M├ñrkischer Kreis,Kreis,27,https://www.maerkischer-kreis.de/,27,,,,,,,,,,,,,,,,5
Magdeburg,Kreisfreie Stadt,20,http://magdeburg.de/Start/B%C3%BCrger-Stadt/Aktuelles-Presse/Coronavirus-Covid-19,20,,,,,,,,,,,,,,,,15
Main-Kinzig-Kreis,Landkreis,33,https://www.mkk.de/aktuelles/pressemitteilungen_1/pressemitteilung_1174336.html,33,,,,,,,,,,,,,,,,6
Main-Spessart,Landkreis,8,https://www.main-spessart.de/themen/gesundheit-soziales/gesundheitsregion-plus/3939.Coronavirus-SARS-CoV-2-COVID-19.html,8,,,,,,,,,,,,,,,,9
Main-Tauber-Kreis,Landkreis,34,"https://www.main-tauber-kreis.de/Landratsamt/Aktuelles/Pressemitteilungen/Weiterer-Fall-von-Coronavirus-Infektion-best%C3%A4tigt-Zahlen-17-M%C3%A4rz-.php?object=tx,2894.6&ModID=7&FID=2894.22548.1&NavID=2177.36.1",34,,,,,,,,,,,,,,,,8
Main-Taunus-Kreis,Landkreis,16,https://www.mtk.org/Coronavirus-8588.htm,16,,,,,,,,,,,,,,,,6
Mainz,Kreisfreie Stadt,28,https://mainz.de/verwaltung-und-politik/buergerservice-online/schutz-gegen-corona-infektionen.php,28,,,,,,,,,,,,,,,,7
Mainz-Bingen,Landkreis,20,https://www.mainz-bingen.de/de/aktuelles/Corona.php,20,,,,,,,,,,,,,,,,7
Mannheim,Stadtkreis,72,https://www.mannheim.de/de/nachrichten/aktuelle-information-zu-corona-17-03,72,,,,,,,,,,,,,,,,8
Mansfeld-Südharz,Landkreis,2,https://www.mansfeldsuedharz.de/de/meldungen/landkreis.html,2,,,,,,,,,,,,,,,,15
Marburg-Biedenkopf,Landkreis,34,https://www.marburg-biedenkopf.de/Pressemitteilungen/2020/03/102-2020-Corona-Folgemeldung-9.php,34,,,,,,,,,,,,,,,,6
Märkisch-Oderland,Landkreis,13,https://www.maerkisch-oderland.de/de/aktuelles/pressemitteilung-262020.html,13,,,,,,,,,,,,,,,,12
Mayen-Koblenz,Landkreis,62,https://www.kvmyk.de/kv_myk/Slideshow/Corona-Ticker/,62,,,,,,,,,,,,,,,,7
Mecklenburgische Seenplatte,Landkreis,13,https://www.lk-mecklenburgische-seenplatte.de/Aktuelles/Presse/Informationen-zu-Corona,13,,,,,,,,,,,,,,,,13
Meißen,Landkreis,11,http://www.kreis-meissen.org/15946.html,11,,,,,,,,,,,,,,,,14
Memmingen,Kreisfreie Stadt,3,https://www.memmingen.de/aktuell/nachrichten-und-termine/aktuelle-nachrichten/singlenews-aktuelles/news/detail/News/erster-corona-fall-im-stadtgebiet.html,3,,,,,,,,,,,,,,,,9
Merzig-Wadern,Landkreis,10,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",10,,,,,,,,,,,,,,,,10
Mettmann,Kreis,62,https://www.kreis-mettmann.de/,70,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Miesbach,Landkreis,32,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,32,,,,,,,,,,,,,,,,9
Miltenberg,Landkreis,5,"https://www.miltenberg.de/#/de/stadt-miltenberg/default/search/Event/city%3A%22Miltenberg%22/view:list/sort:chronological/mode:next_days,3/calView:month",9,,,,,,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={A4709203-525A-41A8-9DE1-3791D8E8FB5A},,,,,,,,,,9
Minden-Lübbecke,Kreis,87,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2994.1&NavID=2832.1,87,,,,,,,,,,,,,,,,5
Mittelsachsen,Landkreis,6,https://www.landkreis-mittelsachsen.de/corona,9,,,,,18/03/2020 14:55,https://www.landkreis-mittelsachsen.de/das-amt/neuigkeiten/corona-aktuelle-lage-17-maerz-2020-1.html,,,,,,,,,,14
Mönchengladbach,Kreisfreie Stadt,44,http://www.notfallmg.de/de/,46,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Mühldorf a. Inn,Landkreis,1,https://www.lra-mue.de/buergerservice.html,1,,,,,,,,,,,,,,,,9
Mülheim an der Ruhr,Kreisfreie Stadt,16,https://www.muelheim-ruhr.de/cms/fragen_und_antworten_zum_corona-virus.html?fuid=aefaab3fc99d3b0c1b5547a1c0512a83#aktuell,21,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
München,Kreisfreie Stadt,359,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,359,,,,,,,,,,,,,,,,9
München,Landkreis,83,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,83,,,,,,,,,,,,,,,,9
Münster,Kreisfreie Stadt,103,https://www.muenster.de/,114,,,,,18/03/2020 13:00,https://www.muenster.de/,,,,,,,,,,5
Neckar-Odenwald-Kreis,Landkreis,13,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,13,,,,,,,,,,,,,,,,8
Neu-Ulm,Landkreis,10,https://landkreis.neu-ulm.de/de/aktuelle-mitteilungen.html,10,,,,,,,,,,,,,,,,9
Neuburg-Schrobenhausen,Landkreis,3,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,3,,,,,,,,,,,,,,,,9
Neumarkt i.d. OPf.,Landkreis,11,https://www.landkreis-neumarkt.de/hp794/Aktuelles.htm,11,,,,,,,,,,,,,,,,9
Neumünster,Kreisfreie Stadt,1,https://www.neumuenster.de/fileadmin/neumuenster.de/media/buergerservice/Berufsfeuerwehr/katastrophenschutz/was_tun_im_kat-fall/PMCoronavirusbestaetigt.pdf,1,,,,,,,,,,,,,,,,1
Neunkirchen,Landkreis,13,https://www.neunkirchen.de/index.php?id=corona,13,,,,,,,,,,,,,,,,10
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,4,https://www.kreis-nea.de/amt-verwaltung/veroeffentlichungen/aktuelles.html,4,,,,,,,,,,,,,,,,9
Neustadt a.d. Waldnaab,Landkreis,1,https://www.facebook.com/Landratsamt.Neustadt.WN,1,,,,,,,,,,,,,,,,9
Neustadt an der Weinstraße,Kreisfreie Stadt,5,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,5,,,,,,,,,,,,,,,,7
Neuwied,Landkreis,36,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/Vierzehnter%20Coronafall%20im%20Landkreis%20Neuwied%20-%20%20Hygienema%C3%9Fnahmen%20beachten%20-%20Hinweise%20der%20Kassen%C3%A4rztlichen%20Vereinigung/,36,,,,,,,,,,,,,,,,7
Nienburg (Weser),Landkreis,6,https://www.niedersachsen.de/Coronavirus,6,,,,,,,,,,,,,,,,3
Nordfriesland,Kreis,2,https://www.nordfriesland.de/Kreis-Verwaltung/Aktuelles,2,,,,,,,,,,,,,,,,1
Nordhausen,Landkreis,2,https://www.landratsamt-nordhausen.de/informationen-coronavirus.html,2,,,,,,,,,,,,,,,,16
Nordsachsen,Landkreis,6,https://www.landkreis-nordsachsen.de/infos_zum_coronavirus.html,6,,,,,,,,,,,,,,,,14
Nordwestmecklenburg,Landkreis,3,https://www.nordwestmecklenburg.de/de/aktuelle-meldung.html,3,,,,,,,,,,,,,,,,13
Northeim,Landkreis,7,https://www.landkreis-northeim.de/portal/meldungen/uebersicht-0-23900.html?titel=Aktuelle+Meldungen,7,,,,,,,,,,,,,,,,3
Nürnberg,Kreisfreie Stadt,28,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,28,,,,,,,,,,,,,,,,9
Nürnberger Land,Landkreis,7,https://www.nuernberg.de/internet/stadtportal/coronavirus.html,7,,,,,,,,,,,,,,,,9
Oberallgäu,Landkreis,33,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,33,,,,,,,,,,,,,,,,9
Oberbergischer Kreis,Kreis,50,http://www.oberbergischer-kreis.de/cms200/startseite/,50,,,,,,,,,,,,,,,,5
Oberhausen,Kreisfreie Stadt,13,https://www.oberhausen.de/de/index.php,18,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Oberhavel,Landkreis,5,https://www.oberhavel.de/B%C3%BCrgerservice/Gesundheit/Aktuelles-zum-Coronavirus,5,,,,,,,,,,,,,,,,12
Oberspreewald-Lausitz,Landkreis,5,http://www.osl-online.de/news/index.php?rubrik=1,5,,,,,,,,,,,,,,,,12
Odenwaldkreis,Landkreis,7,https://www.odenwaldkreis.de/index.php?id=195&tx_news_pi1%5Bnews%5D=2191&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=b0b9d51ec2c8419190d90b958dd40c06,7,,,,,,,,,,,,,,,,6
Oder-Spree,Landkreis,14,https://www.landkreis-oder-spree.de/Service-Aktuelles/Aktuelles/Coronavirus,14,,,,,,,,,,,,,,,,12
Offenbach,Landkreis,23,"https://www.kreis-offenbach.de/Themen/Gesundheit-Verbraucher-schutz/akut/Corona/Kreisverwaltung-schlie%C3%9Ft-f%C3%BCr-das-Publikum-komplett.php?object=tx,2896.5&ModID=7&FID=2896.8447.1&NavID=2896.1061&La=1",23,,,,,,,,,,,,,,,,6
Offenbach am Main,Kreisfreie Stadt,5,https://www.offenbach.de/leben-in-of/gesundheit/dir-6/coronavirus.php#c0,5,,,,,,,,,,,,,,,,6
Oldenburg,Landkreis,8,https://www.oldenburg-kreis.de/portal/startseite.html,8,,,,,,,,,,,,,,,,3
Oldenburg (Oldb),Kreisfreie Stadt,25,https://www.oldenburg.de/startseite/leben-umwelt/soziales/gesundheitsamt/coronavirus/corona-aktuelle-lage-in-oldenburg.html,25,,,,,,,,,,,,,,,,3
Olpe,Kreis,14,"https://www.kreis-olpe.de/Quicknavigation/Startseite/Corona-Virus-%C3%9Cbersicht.php?object=tx,3123.5&ModID=7&FID=3125.1097.1",14,,,,,,,,,,,,,,,,5
Ortenaukreis,Landkreis,49,https://www.ortenaukreis.de/media/custom/2390_5025_1.PDF?1584455070,49,,,,,,,,,,,,,,,,8
Osnabrück,Kreisfreie Stadt,54,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,54,,,,,,,,,,,,,,,,3
Osnabrück,Landkreis,47,https://www.landkreis-osnabrueck.de/veterinaer-gesundheit/infektionsschutz/covid-19,47,,,,,,,,,,,,,,,,3
Ostalbkreis,Landkreis,96,https://www.ostalbkreis.de/sixcms/detail.php?_topnav=36&_sub1=31788&_sub2=32062&_sub3=292448&id=292450,96,,,,,,,,,,,,,,,,8
Ostallgäu,Landkreis,14,https://www.landkreis-ostallgaeu.de/aktuelles.html,14,,,,,,,,,,,,,,,,9
Osterholz,Landkreis,20,https://www.landkreis-osterholz.de/portal/meldungen/landkreis-gibt-nochmals-allgemeine-hinweise-zum-umgang-mit-dem-coronavirus-901005077-21000.html?rubrik=901000054,20,,,,,,,,,,,,,,,,3
Ostholstein,Kreis,4,"https://www.kreis-oh.de/Service-Navigation/Start/index.php?object=tx,2454.18562.1&NavID=2454.255",4,,,,,,,,,,,,,,,,1
Ostprignitz-Ruppin,Landkreis,0,https://www.ostprignitz-ruppin.de/,0,,,,,,,,,,,,,,,,12
Paderborn,Kreis,52,https://www.kreis-paderborn.de/kreis_paderborn/aktuelles/pressemitteilungen/ausschuesse-abgesat.php,52,,,,,,,,,,,,,,,,5
Passau,Kreisfreie Stadt,3,http://www.passau.de/default.aspx?ID=e553c8db-27d4-46fa-8c54-f0cace69cfe9,3,,,,,,,,,,,,,,,,9
Passau,Landkreis,15,https://www.landkreis-passau.de/landkreis-verwaltung-politik/aktuelles/aktuelle-meldungen/,15,,,,,,,,,,,,,,,,9
Peine,Landkreis,8,"https://www.landkreis-peine.de/Quicknavigation/Start/Neue-Coronaf%C3%A4lle-im-Landkreis-Peine.php?object=tx,2555.5&ModID=7&FID=2555.6498.1",8,,,,,,,,,,,,,,,,3
Pfaffenhofen a.d. Ilm,Landkreis,11,https://www.landkreis-pfaffenhofen.de/LANDRATSAMT/Geschaeftsverteilung/Geschaeftsverteilungsplan.aspx?view=~/kxp/orgdata/default&orgid=85ae92ca-8b38-4d78-90ab-dfc06520a763,11,,,,,,,,,,,,,,,,9
Pforzheim,Stadtkreis,7,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",7,,,,,,,,,,,,,,,,8
Pinneberg,Kreis,27,https://www.kreis-pinneberg.de/Coronavirus.html,27,,,,,,,,,,,,,,,,1
Pirmasens,Kreisfreie Stadt,0,https://www.pirmasens-land.de/vg_pirmasens_land/Aktuelles/Aktuelle%20Elterninformation%20zur%20Schlie%C3%9Fung%20der%20Kindertagesst%C3%A4tten%20in%20Rheinland-Pfalz/,0,,,,,,,,,,,,,,,,7
Pl├Ân,Kreis,6,https://www.kreis-ploen.de/B%C3%BCrgerservice/Informationen-zum-Coronavirus,6,,,,,,,,,,,,,,,,1
Potsdam,Kreisfreie Stadt,13,https://www.potsdam.de/177-potsdam-schliesst-kneipen-und-kinos-regelungen-fuer-gaststaetten,13,,,,,,,,,,,,,,,,12
Potsdam-Mittelmark,Landkreis,8,https://www.potsdam-mittelmark.de/de/aktuelles-termine/neues-aus-dem-landkreis/aktuelles/?tx_ttnews%5Btt_news%5D=886&cHash=210c04036e2c7639dedc03c272700cd1,8,,,,,,,,,,,,,,,,12
Prignitz,Landkreis,0,https://www.landkreis-prignitz.de/de/aktuelles/index.php,0,,,,,,,,,,,,,,,,12
